Folder	Image_Path	CLIP_Score
Turn_0	OTR_INTER_BUT0_WAS0_033_082_0069b6_negative_0.png	0.2408
Turn_0	OTR_INTER_WAS0_BOL0_089_038_aaa32b_negative_1.png	0.2662
Turn_0	FOO_INTER_CAN0_PNT1_094_186_bebfbe_negative_2.png	0.1956
Turn_0	FOO_INTRA_PNT1_PNT2_320_288_1a4274_negative_2.png	0.2526
Turn_0	OFF_INTRA_CRS1_CRS2_035_037_7e2d7e_positive_1.png	0.2541
Turn_0	OTR_INTER_NUT0_PEG0_036_031_426982_negative_1.png	0.2675
Turn_0	FUN_INTER_MAH0_PKC0_053_076_58a976_negative_1.png	0.2596
Turn_0	FOO_INTER_GAR0_PNT1_113_152_3b8a82_positive_1.png	0.2524
Turn_0	OTR_INTER_BEA0_SCR0_070_016_0bf5aa_positive_2.png	0.2617
Turn_0	HOU_INTER_CTB2_TPK1_079_092_215ca9_positive_2.png	0.2758
Turn_0	FUN_INTER_CHS0_PKC0_052_096_fa1aea_negative_0.png	0.2407
Turn_0	HOU_INTRA_PIL1_PIL2_071_055_7816dd_positive_1.png	0.2392
Turn_0	OTR_INTER_NUT0_PEG0_049_046_7506b4_positive_1.png	0.2448
Turn_0	OTR_INTER_WAS0_NUT0_074_042_af4f78_positive_1.png	0.2458
Turn_0	FUN_INTRA_PKC1_PKC2_046_093_72d301_negative_1.png	0.2258
Turn_0	OTR_INTER_BOL0_NUT0_034_029_dd6fb3_positive_0.png	0.2572
Turn_0	OTR_INTRA_SCR1_SCR2_048_048_b268e5_negative_2.png	0.2089
Turn_0	FUN_INTER_CHS0_PKC0_086_136_c1dec4_positive_1.png	0.2092
Turn_0	OFF_INTER_PPN0_HST0_062_076_9bd4ab_negative_1.png	0.2376
Turn_0	FUN_INTRA_LEG1_LEG2_040_038_64ca78_negative_0.png	0.2103
Turn_0	OTR_INTRA_WAS1_WAS2_095_090_21e4e6_positive_2.png	0.2265
Turn_0	FOO_INTRA_PNT1_PNT2_254_228_858e5a_negative_0.png	0.2403
Turn_0	HOU_INTRA_HCP1_HCP2_025_018_4b7171_positive_0.png	0.2451
Turn_0	HOU_INTRA_CTB1_CTB2_067_032_f5fbfe_negative_2.png	0.2865
Turn_0	OFF_INTER_PPC0_PEN0_037_014_ed83ab_positive_2.png	0.2316
Turn_0	FUN_INTER_PUZ0_CHS0_030_036_132c65_negative_1.png	0.2711
Turn_0	OFF_INTRA_STN1_STN2_050_047_2563e9_positive_0.png	0.2884
Turn_0	FUN_INTER_MAH0_PKC0_065_090_34eeb0_negative_2.png	0.2605
Turn_0	OFF_INTRA_SFP1_SFP2_037_039_5dbd46_negative_0.png	0.2368
Turn_0	FOO_INTER_BEA2_PEP1_186_182_91b88b_positive_2.png	0.2266
Turn_0	FOO_INTER_CAN0_PNT1_079_152_ee6904_positive_0.png	0.2187
Turn_0	OFF_INTER_PPC0_RHS0_082_119_5cdd93_positive_1.png	0.2490
Turn_0	OTR_INTER_BEA0_SCR0_090_023_597426_negative_2.png	0.2343
Turn_0	HOU_INTRA_BAT1_BAT2_020_017_74542d_positive_2.png	0.2428
Turn_0	HOU_INTRA_CTB1_CTB2_181_183_210600_negative_2.png	0.2742
Turn_0	HOU_INTRA_HCP1_HCP2_032_024_6dd388_positive_1.png	0.2753
Turn_0	FOO_INTRA_PEP1_PEP2_186_183_33c6f5_positive_1.png	0.2074
Turn_0	FOO_INTER_LIM0_CHI0_067_071_3ab782_negative_1.png	0.2624
Turn_0	OTR_INTRA_WAS1_WAS2_080_080_854d26_negative_1.png	0.2252
Turn_0	HOU_INTRA_HCP1_HCP2_018_013_2d8fe0_positive_1.png	0.2193
Turn_0	FUN_INTER_MAR0_DIC0_092_092_568d97_negative_0.png	0.2271
Turn_0	FUN_INTER_PUZ0_PKC0_079_031_3245d2_negative_0.png	0.2494
Turn_0	OTR_INTER_NUT0_PEG0_036_031_426982_negative_0.png	0.2737
Turn_0	FOO_INTRA_CHI1_CHI2_031_011_d4828e_positive_0.png	0.2668
Turn_0	FUN_INTER_PUZ0_PKC0_100_041_8ae58e_negative_0.png	0.2628
Turn_0	FOO_INTRA_CHI1_CHI2_042_023_8aa4f0_positive_0.png	0.2634
Turn_0	FUN_INTER_DIC0_PLC0_092_142_f2e95e_positive_0.png	0.2218
Turn_0	FOO_INTER_BEA1_SED2_187_094_42e27e_negative_2.png	0.2463
Turn_0	FOO_INTRA_CHI1_CHI2_094_047_6572ea_negative_2.png	0.2153
Turn_0	HOU_INTER_BAT0_CTB0_030_089_3ca026_negative_0.png	0.2616
Turn_0	OFF_INTRA_PPN1_PPN2_037_052_f8d127_positive_2.png	0.2496
Turn_0	HOU_INTER_BAT0_CTB0_043_128_62b854_negative_0.png	0.2771
Turn_0	OFF_INTER_PPC0_PEN0_078_030_31d2a3_positive_1.png	0.2199
Turn_0	FUN_INTER_MAH0_PKC0_065_090_34eeb0_positive_1.png	0.2426
Turn_0	FOO_INTER_GAR0_PNT1_041_064_4701b8_positive_1.png	0.2458
Turn_0	FOO_INTER_BEA1_SED2_124_066_2b18b1_negative_0.png	0.2675
Turn_0	OFF_INTER_CRS0_RUB0_135_055_3a64e8_negative_1.png	0.2502
Turn_0	OFF_INTER_PPN0_HST0_030_030_267fd6_negative_1.png	0.2372
Turn_0	OTR_INTER_IKE0_PEG0_016_023_e59bcb_positive_1.png	0.2533
Turn_0	HOU_INTER_BAT0_CTB0_072_181_325215_negative_0.png	0.2741
Turn_0	FUN_INTER_CHS0_PKC0_035_070_24eebd_negative_1.png	0.2198
Turn_0	HOU_INTER_ULT0_TPK0_028_029_b72ac4_positive_2.png	0.3336
Turn_0	HOU_INTER_ULT0_BBT0_034_035_59245a_positive_1.png	0.2423
Turn_0	FOO_INTRA_PNT1_PNT2_408_361_fe970b_negative_2.png	0.2058
Turn_0	OFF_INTER_PEN0_PNC0_065_024_488fe0_negative_0.png	0.2769
